Student Number,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412
97011,81.73,49.85,69.71,19.59,17.34,47.12,40.84,47.74,87.39,79.38,8.93,88.65,53.17,76.02,7.38,74.85,46.22,56.74,40.16,83.46,6.91,26.88,65.17,27.43,83.92,25.8,64.38,9.82,84.27,28.07,84.12,67.81,30.9,48.25,19.81,18.83,62.83,72.91,50.21,20.33,74.87
97012,79.18,32.09,80.85,40.74,17.61,93.88,51.47,69.71,83.09,80.89,78.51,87.78,69.84,75.13,84.91,91.89,81.19,90.03,85.51,86.82,79.29,76.44,47.82,38.99,82.8,37.33,46.41,59.42,82.37,92.32,52.97,84.54,81.7,50.1,72.06,27.91,93.98,78.97,45.77,35.07,82.5
97013,61.4,27.77,84.75,33.09,47.01,55.87,6.29,29.18,74.75,77.1,77.1,48.56,71.43,70.93,77.31,39.19,17.51,60.56,20.92,47.05,8.78,14.49,72.74,8.65,82.3,81.67,48.89,29.15,77.71,54.71,56.41,36.28,18.86,29.51,23.71,31.75,94.31,78.76,54.86,78.23,65.45
97014,89.91,21.37,79.79,15.68,55.46,75.17,44.14,83.57,81.11,84.58,23.78,92.99,67.99,90.47,75.31,75.3,61.6,82,41.52,92.79,66.77,68.01,100,75.9,78.51,80.64,78.09,65.68,100,92.16,81.32,81.69,60.26,79.55,83.32,67.2,79.78,89.66,86.91,80.61,90.03
97015,92.53,26.79,83.96,43.68,80.7,90.77,45.91,77.14,84.96,86.6,33.63,77.45,46.57,83.11,90.49,67.38,52.49,84.56,47.51,100,83.8,67.85,55.44,9.83,78.73,80.29,78.23,35.11,100,92.18,80.28,80.39,42.44,84.98,84.07,66.87,79.32,99.57,93.77,93.55,93.01
97016,82.68,16.76,54.15,12.69,49.96,74.15,50.5,77.7,61.61,76.47,32.13,58.9,81.76,46.64,53.26,51.65,36.52,78.76,39.43,86.73,8.35,47.39,30.99,51.77,81.69,17.04,75.38,19.41,90.75,26.55,29.77,54.84,59.39,31.85,54.06,42.44,77.91,78.74,43.86,20.31,77.77
97017,83.46,15.15,94.53,7.3,76.41,85.51,64.22,81.46,76.59,88.37,58.46,78.36,77.88,88.12,88.29,81.32,82.79,87.32,66.78,86.3,60.03,70.32,92.08,48.45,72.01,25.12,82.06,49.63,87.2,77.22,36.38,50.49,34.46,53.11,61.52,40.6,74.07,79.9,54.07,61.83,79.46
97018,54.15,22.5,25.72,8.82,12.24,37.26,10.39,64.59,69.57,11.83,11.83,67.44,10.79,47.01,12.25,12.36,36.53,70.19,27.63,28.27,11.81,11.23,12.39,28.37,19.6,12.41,7.38,5.57,18.03,6.79,10,7.74,10.77,5.65,7.54,13.98,75.84,30.7,23.9,14.05,20.29
97019,93.58,20.59,89.8,36.32,76.86,88.21,79.38,88.51,92.65,90.62,57.66,79.48,91.05,77.77,83.93,78.26,74.97,86.45,78.41,83.79,55.55,76.52,80.48,15.11,54.13,88.39,82.51,67.24,89.36,82.18,77.05,84.24,47.45,76.16,79.03,48.68,75.83,94.82,84.32,81.61,85.6
97020,67.26,28.78,81.64,20.93,75.66,73.04,83.93,82.79,89.9,94.83,71.33,93.31,76.83,90.59,78.54,78.41,81.81,90.21,72.65,81.69,68.13,87.7,79.32,24.47,60.9,84.03,73.77,61.93,82.85,87.86,56.12,54.86,28.73,65.52,84.07,71.58,82.89,96.95,82.87,78.57,91
97021,71.46,30.93,60.15,8.38,48.3,21.58,20.81,20.31,20.23,78.93,8.02,82.31,50.9,10.73,71.73,54.41,16.46,48.07,23.99,76.39,5.71,10.51,29.98,14.23,46.35,5.12,48.84,21.24,64.86,29.11,34.13,26.28,8.79,15.4,15.44,5.17,65.82,74.73,32.65,47.52,83.42
97022,62.18,65.42,47.89,31.06,75.65,77.97,6.95,35.26,56.17,31.6,34.51,55.65,62.21,82.57,37.83,49.63,37.51,64.49,16.03,73.88,37.56,33.1,78.06,69.44,72.4,78.53,70.44,55.28,79.9,21.34,56.88,31.42,38.43,70.46,28.38,37.57,87.32,87.25,82.41,72.6,77.14
97023,70.77,41.96,48.14,35.53,21.38,77.64,49.15,41.28,79.5,42.37,49.53,78.33,10.96,85.41,54.95,70.02,11.58,76.76,54.95,81.57,70.16,47.91,60.26,23.83,57.21,55.52,76.33,39.9,83.08,74.02,48.56,66.89,17.11,64.03,42.14,24.39,92.26,81.39,68.76,49.06,81.45
97024,88.38,81.29,88.12,84.51,94.77,91.54,48.58,75.61,67.32,94.79,56.46,80.4,68.02,84.47,87.21,84.62,77.49,93.36,76.7,92.95,70.19,75.59,75.54,45.68,67.92,70.35,84.11,81.15,93.37,79.77,77.04,84.82,54.73,54.51,75.67,54.42,74.95,88.07,84.46,76.02,81.27
97025,86.37,51.98,78.23,57.48,67.49,79.29,55.8,85.75,90.44,82.81,44.55,93.96,58.62,80.96,79.87,85.9,56.89,94.73,82.2,79.9,80.75,82.86,85.28,45.53,73.83,83.86,61.1,54.46,94.23,88.59,64.31,57.1,51.45,70.37,58.52,49.99,84.88,94.1,82.49,82.99,87.82
97026,39.19,18.26,25.03,19.09,6.95,51.75,7.06,42.95,84.42,65.91,10.42,76.5,11.01,68,8.79,31.6,7.91,65.94,5.97,25.82,5.44,7.52,10.64,33.76,64.27,7.75,48.76,13.75,67.84,46.65,19.46,30.35,7.72,14.38,54.15,9.49,74.22,83.59,25.56,57.43,76.03
97027,89.24,67.7,86.88,82.83,81.55,93.61,41,89.25,91.2,77.38,73.19,77.59,57.3,75.22,76.52,77.41,53.5,91.18,59.08,86.98,79.15,82.27,57.5,24.64,70.67,67.82,79.59,25.32,83.09,82.34,68.49,90.95,44.44,62.33,55.28,51.89,75.47,91.08,60.08,83.69,93.91
97028,34.79,44.87,5.56,5.31,23.34,68.49,5.54,25.71,63.11,60.83,80.81,56.88,8.92,38.1,6.26,29.6,22.77,15.82,34.46,25.47,6.92,12.49,43.32,12.64,60.76,42.51,40.09,7.77,42.01,22.92,30.64,29.44,9.2,8.1,22.82,18.04,59.62,77.85,38.31,49.15,82.6
97029,65.17,55.4,78.34,72.12,45.65,94.1,61.99,12.15,76.71,80.44,18.67,92.63,91.81,65.3,55.85,70.84,52.79,90.25,46.09,80.85,38.49,77.4,55.8,18.58,80.04,76.82,78.78,43.84,86.21,77.53,52.57,67.18,40.33,68.71,63.78,35.71,78.09,91.68,49.45,72.05,76.61
97030,26.51,45.74,33.94,11.85,56.72,58.42,42.04,40.05,44.53,62.54,9.17,84.42,12.1,42.34,46.28,47.73,27.28,48.79,30.99,53.47,13.87,16.55,17.78,20.97,48.03,13.87,48.65,22.08,82.27,40.99,36.65,19.56,11.74,29.53,26.82,14.41,82.9,79.41,35.28,22.71,51.84
97031,76.62,58.25,92.57,67.95,49.6,84.45,73.11,86.47,84.88,86.66,57.96,77.65,51.26,75.93,84.42,86.82,82.33,91.32,88.24,86.12,68.15,67.58,75.74,38.72,82.74,64.76,64.77,51.96,86.67,80.61,78,63.77,26.73,79.07,78.51,47.81,79.1,85.95,73.9,73.3,91.64
97032,89.17,36.5,80.96,44.08,66.96,83.95,54.21,68.19,78.35,84.49,62.47,55.38,71.36,93.13,77.57,86.54,42.78,75.59,81.01,55.87,47.18,83.15,48.49,6.59,56.71,48.04,79,24.92,55.38,53.56,55.09,37.31,30.87,39.32,43.09,44.93,89.06,86.08,61.99,70.74,80.42
97033,55.39,42.55,90.31,10.13,76.11,87.81,76.98,85.2,75.39,83.65,46.84,79.73,79.95,84.84,82.58,78.04,82.3,90.92,60,100,52.77,81.1,73.22,13.99,46.67,60.04,57.22,37.79,87.49,81.63,55.48,60.73,41.13,59.78,63.13,21.42,94.69,83.43,68.79,50.12,72.45
97034,94.27,43.18,82.68,57.53,79.81,66.86,22.4,67.83,81.15,48.13,18.9,90.54,64.71,81.21,82.94,77.41,44.09,80.76,59.69,93.09,48.41,74.41,62.6,32.61,75.35,29.96,57.65,28.86,84.24,80.9,48.94,63.9,14.3,54.93,45.85,46.29,81.96,93.47,66.31,82.42,68.25
97035,71.79,54.88,76.21,89.94,38.58,75.03,11.4,81.44,81.92,40.63,16.45,91.94,30.21,90.5,63.26,77.24,62.64,83.46,21.17,89.66,58.07,26.87,47.05,82.02,83.86,56.94,75.64,16.19,75.39,74.89,54.17,83.67,33.52,74.29,45.53,38.41,90.14,88.43,64.43,83.02,80.61
97036,56.23,37.18,53.15,8.02,73.37,77.44,46.92,68.03,75.45,78.07,66.63,83.27,64.93,79.64,9.71,81.67,61.16,93.1,22.56,93.39,54.81,38.62,59.79,25.85,80.82,44.71,62.91,15.45,93.79,82.94,49.82,61.08,21.41,34.66,57.98,41.77,81.93,90.16,46.26,47.39,76.57
97037,65.04,73.62,75.18,51.1,71.65,76.39,35.31,72,79.7,59.72,24.95,88.17,38.03,80.62,78,76.01,27.85,79.33,60.2,75.41,50.23,75.11,68.09,26.42,72.11,26.21,69.58,46.01,67.1,66.93,52.77,76.4,35.58,40.3,53.62,40.27,80.92,88.17,46,82.22,78.57
97038,63.29,27.97,80.83,46.51,72.2,85.16,89.88,78.31,82.6,81.27,78.85,84.4,7.93,87.39,77.72,78.38,63.31,88.23,61.91,65.25,70.53,52.22,83.83,52.95,70.89,47.83,69.18,36.33,92.98,76.22,66.96,82.47,59.75,60.34,65.22,34.61,80.39,80.97,65.57,70.73,78.12
97039,23.51,20.08,9.49,9.87,35.93,44.19,19.43,6.48,25.54,31.62,24.91,81.18,36.28,56.92,52.51,56.7,42.44,76.88,22.13,61.23,7.28,23.64,22.21,18.78,19.67,49.17,50.02,8.3,83.15,30.78,5.79,7.91,40.42,12.21,12.33,12.08,78.03,73.15,39.99,16.87,68.69
97040,77.52,83.65,69.91,74.98,81.1,98.28,68.21,92.81,93.6,78.58,88.08,70.54,49,89.46,78.16,86.38,75.65,86.42,83.06,76.66,89.51,87.33,78.44,93.94,84.04,91.76,89.16,88.71,40.58,82.61,89.4,78.21,83.22,57.27,84.07,62.87,88.28,81.52,55.69,60.72,89.71
97041,77.48,49.63,45.6,32.15,76.77,92.5,94.55,50.29,80.24,45.59,53.62,93.94,26.8,75.25,72.91,63.08,45.25,57.46,28.52,65.94,30.36,40.67,34.35,17.1,82.13,36.61,61.82,40.11,86.45,81.01,46.81,57.1,52.69,72.92,54.62,28.25,81.43,90.32,74.61,82.28,76.46
97042,59.87,34.55,37.6,25.46,10.89,76.92,5.31,45.02,56.12,67.88,69.95,79.01,49.73,71.46,76.56,72.03,21.04,42.93,53.17,80.84,9.39,48.51,61.94,28.23,49.77,14.62,56.21,33.33,69.59,35.24,25.74,53.34,10.97,34.42,60.61,14.23,77.07,91.14,51.2,70.47,82.72
97043,68.11,32.85,57.29,28.85,52.45,75.58,13.55,76.37,76.68,51.81,83.44,82.13,54.14,84.82,73.61,46.18,11.74,67.1,19.43,78.48,23.22,19.75,38.27,7.07,59.15,79.05,60.89,17.49,83.14,79.61,89.66,52.68,18.57,15.83,53.09,22.48,91.46,80.33,39.55,56.75,83.29
97044,21.79,71.95,25.13,71.25,40.56,83.33,66.75,54.04,88.16,93.06,36.44,79.48,9.48,74.6,14.35,81.33,16.44,70.06,35.57,8.18,61.96,53.87,72.89,51.16,82.6,47.5,76.92,39.68,77.65,57.92,68.54,75.3,65.79,74.48,54.33,38.07,94.8,78.71,47.56,58.48,87.74
97045,9.8,31.49,,,,22.41,,,12.51,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97046,57.5,50.77,45.8,9.37,20.87,27.19,14.11,61.41,76.86,58.39,27.19,66.78,18.97,48.28,7.1,13.93,58.05,12.09,10.55,19.13,80.15,59.61,5.83,11.34,31.12,8.85,22.02,9.56,62.45,5.81,8.39,8.94,64.78,5.98,8.3,32.12,37.61,47.61,31.66,10.01,46.82
97047,80.13,18.8,38.16,18.02,5.19,44.81,9.49,5.03,72.01,43.41,19.79,79.37,8.56,79.49,7.09,5.83,7.68,31.46,13.34,5.82,8.33,7.55,77.42,43,44.54,38.81,5.27,37.29,19.96,6.53,5.8,14.45,8.12,13.46,54.13,13.02,80.25,48.74,17.5,30.8,54.67
97048,84.35,70.37,81.2,79.99,93.75,100,92.62,100,89.91,50.96,90.13,90.14,86.77,91.01,100,95.27,100,100,87.16,89.86,99.53,96.76,100,88.12,81.64,92.65,81.8,91.01,84.53,100,94.03,77.78,88.31,91.77,89.03,85.35,85.39,99.33,94.13,93.03,91.45
97049,89.74,78.65,86,78.8,95.49,100,95.29,91.26,90.53,94.71,100,89.84,78.44,87.67,75.84,94.65,96.18,99.67,74.68,88.27,80.4,100,91.75,94.44,91.93,82.41,82.08,88.4,88.15,100,93.86,88.84,83.36,53.35,89.59,61.26,94.15,75.62,92.92,57.84,89.44
97050,84.61,78.01,89.39,79.84,82.88,97.01,80.73,92.95,88.84,81.45,60.27,93.45,84.79,91.54,75.84,69.47,74.07,94.6,80.81,100,35.59,89.59,89.27,48.62,77.61,23.49,63.59,78.31,75.62,100,67.55,79.1,43.36,37.95,74.52,18.92,76.16,88.44,70.59,13.79,90.84
97051,37.83,6.22,30.07,5.25,11.41,61.31,79.1,24.61,31.37,47.53,37.82,55.4,6.48,43.44,12.92,28.26,12.78,44.81,22.97,6,13.62,20.41,36.02,10.74,26.71,34.44,33.04,60.89,70.94,31.59,28.31,36.11,48.86,17.29,17.61,25.58,67.77,94.22,47.87,49.33,84.32
97052,22.99,64.22,52.1,49.56,58.43,70.4,5.13,45.01,65.16,5.23,61.2,83.46,22.58,68.37,17.55,49.55,19.42,70.42,25.29,62.94,33.74,43.75,55.29,19.3,64.86,25.9,49.49,37.43,50.52,54.01,37.56,37.69,11.56,51.91,37.37,24.51,79.73,78.84,71.76,61.23,82.71
97053,54.5,35.3,56.7,35.89,82.04,39.36,93.76,42.44,55.58,39.26,37.7,82.64,87.23,66.5,82.77,84.87,56,80.74,61.85,65.68,50.04,74.59,77.88,58.2,80.2,55.41,65.95,19.07,71.09,77.08,49.77,61.86,44.89,46.96,45.06,46.5,89.8,87.01,58.53,64.59,80.71
97054,49.94,45.41,27.53,47.66,22.37,84.55,35.53,45.97,75.61,82.44,85.26,61,40.64,68.06,60.27,51.23,73.39,86.08,62.29,82.52,38.19,52.65,39.63,15.11,52.32,74.43,45.97,6.36,93.76,37.69,52.92,22.9,9.25,20.23,5.62,27.92,79.38,91.87,45.56,61.2,80.57
97055,81.4,44.44,94.19,15.14,93.2,68,47.07,94.49,82.45,91.74,10.63,81.55,78.91,84.77,58.19,48.05,19.5,64.85,29.91,89.67,33.16,58.47,60.59,33.22,49.61,20.58,68.87,37.98,86.01,81.38,47.67,47.39,24.22,36.44,46.33,54.42,75.91,87.86,69.93,79.6,76.38
97056,72.11,44.24,58.55,24.73,93.62,68.22,70.02,30.51,76.68,91.64,78.68,79.17,79.38,75.76,75.69,84.04,18.48,62.1,37.53,75.86,74.2,81.92,58.67,12.87,70.5,38.79,54.36,41.44,65.34,77.93,47.98,26.55,14.87,34.18,50.5,21.53,93.13,84.46,81.48,54.84,77.53
97057,89.28,55.11,79.32,74.01,85.7,80.62,40.41,81.3,75.61,55.82,33.43,81.71,89.29,86.2,92.39,75.81,94.16,92.38,84.45,100,76.1,89.22,94.69,24.69,69.42,46.49,55.64,74.53,82.24,93.23,35.49,77.42,63.37,38.23,71.5,17.84,81.28,90.02,79.5,41.2,85.93
97058,8.05,19.15,17.16,8.54,9.04,48.75,36.91,38.2,13.97,10.74,24.77,13.7,15.18,29.32,12.12,12.5,8,77.73,32.32,10,8.3,8.42,84.97,22.62,10.16,78.34,15.82,24.03,54.89,18.71,12.94,12.39,28.4,8.63,25.33,42,76.34,48.92,55.89,13.01,18.3
97059,73.75,63.39,35.48,79.75,78.38,78.79,21.97,64.92,78.91,66.87,47.02,92.75,85.77,80.79,60.18,56.48,76.78,90.95,46.48,83.73,61.45,59.99,72.19,18.89,80.47,29.15,61.44,35.24,90.2,45.89,55.86,71.18,45.25,84.11,47.92,20.4,76.02,90.53,48.76,56,75.13
97060,79.35,49.64,30.28,14.24,15.01,68.68,17.56,54.79,77.41,87.5,11.95,76.5,13.79,76.66,52.47,46.99,45.49,51.7,14.6,83.67,6,9.03,17.41,11.11,48.07,30.09,58.44,5.94,80.97,64.95,35.73,51.26,14.74,36.74,17.54,22.51,65.16,76.65,60.88,65.42,82.64
97061,34.87,71.62,0.48,10.56,23.57,51.17,0.2,9.15,77.95,59.01,0,0.36,1.31,,,,0,0,0,3.15,,,,,,,,,,,,,,,,,,,,,
97062,76.28,54.17,33.48,17.04,54.51,46.19,11.98,26.41,54.26,66.05,16.88,78,34.09,80.16,19.53,39.14,38.54,19.47,24.35,75.59,11.07,51.07,34.66,52.65,56.54,26.82,51.19,42.4,80.3,62.84,21.57,49.47,6.34,43.6,15.53,18.8,80.72,88.87,57.71,72.8,75.7
97063,62.29,20.81,60.02,7.11,54.41,36.07,39.09,28.61,80,19.86,13.87,82.06,14.74,76.33,40.55,67.02,7.18,9.97,19.12,71.99,6.7,16.45,10.1,14.26,67.94,38.87,54.26,31.63,76.21,53.05,25.66,54.44,53.77,20.61,28.25,37.54,79.23,82.51,53.72,53.34,76.5
97064,84.36,50.63,91.17,74.41,85.4,86.65,64.53,94.5,92.28,50.64,83.6,93.84,93.5,90.83,76.85,90.82,85.82,93.6,91.76,100,93.73,87.55,93.58,81.89,72.11,92.06,88.44,75.19,90.58,89.24,94.6,93.69,75.72,78.95,83.35,41.01,83.3,93.08,77.35,89.55,78.85
97065,49.47,46.2,83.06,9.9,43.87,76.17,28.52,77.9,84.81,17.92,49.16,48.48,78.25,84.86,74.2,59.63,83.95,88.35,49.93,52.98,60.51,77.73,83.66,37.78,36.88,46.68,44.86,32.19,83.47,77.25,32,56.02,30.33,37.14,51.67,29.23,75.21,84.36,53.48,76.72,65.78
97066,82.45,52.67,51.64,11.54,33.36,72.46,28.89,51.75,82.17,66.18,15.67,85.64,12.44,73.14,45.98,62.43,38.15,47.03,55.76,76.12,28.91,34.98,9.08,30.31,60.14,48.01,56.65,13.54,94.4,36.16,22.58,61.09,7.25,51.62,45.01,51.2,77.71,89.93,59.93,56.82,83.26
97067,83.79,21.03,25.79,11.68,37.25,62.71,10.88,42.04,52.49,59.75,54.09,65.68,33.44,76.17,19.39,66.27,24.25,30,62.03,82.42,39.15,26.19,61.86,54.14,74.84,39.96,61.03,36.09,84.87,79.96,82.07,56.6,34.55,36.7,51.85,42.48,83.73,81.35,68.16,68.44,82.88
97068,79.7,22.69,79.15,15.17,82.56,94.38,10.18,78.61,80.58,77.5,27.6,58.95,75.11,75.22,73.3,77.76,62.04,78.4,50.9,80.14,52.82,76.18,68.03,11.44,45.42,48.92,61.61,58.43,91.34,81.6,42.09,67.13,19.71,50.43,41.28,48.06,81.26,90.34,64.23,76.19,92.24
97069,64.29,27.4,71.23,19.06,69.26,77,93.54,75.25,81.13,82.85,79,78,23,77.48,5.56,62.23,8.08,93.97,63.03,83.48,17.21,7.28,55.98,24.4,76.49,11.18,31.13,11.66,15.85,46.65,43.75,59.08,36.55,17.25,16.67,15.09,92.55,66.45,49.15,38.4,82.54
97070,89.16,16.42,88.27,53.2,85.95,77.8,52.61,76.9,79.52,86.07,46.94,92.26,92.88,87.68,90.73,94.35,81.41,90.23,61.39,86.54,75.73,93.16,81.84,29.79,45.8,69.23,89.65,72.69,91.18,89.9,80.14,77.76,54.07,59.36,84.2,50.38,82.2,100,75.29,78.63,85.91
97071,75.12,68.98,75.22,68.57,61.2,90.38,75.09,85.7,78.28,90.18,33.23,88.18,27.97,90.97,84.77,87.88,74.91,80.55,74.23,76.03,70.36,84.04,58.32,27.09,76.35,80.35,78.36,65.72,84.82,79.64,77.13,77.23,51.93,77.43,79.22,31.33,79.12,87.38,77.18,56.88,78.91
97072,80.47,65,55.58,23.73,75.84,90.97,46.72,71.19,49.95,56.33,31.58,77.35,28.63,80.04,76.66,77.54,61.82,92.86,76.93,82.7,84.29,71.22,82.66,7.79,26.04,18.38,64.47,12.53,90.28,62.27,41.68,80.67,40.67,9.5,7.74,7.29,53.78,88.77,33.09,41.42,50.45
97073,81.79,37.1,79.19,39.16,49.32,85.69,62.74,79.7,70.42,82.22,73.09,77.08,35.2,77.32,78.78,79.08,71.23,85.87,59.42,94.26,76.45,89.63,79.75,39.48,84.63,76.08,84.84,53.81,76.37,77.46,70,84.35,45.82,57.22,76.29,37.03,80.01,87.5,72.25,90.99,78.51
97074,86.05,45.44,70.45,5.48,8.23,80.39,14.97,50.89,80.58,92.52,20.14,92.06,32.76,42.35,24.01,22.99,14.74,24,14.18,24.53,11.75,12.68,12.17,19.9,37.13,51.85,39,8.27,68.18,28.43,7.33,34.11,30.65,39.41,31.7,10.48,72.21,66.49,36.15,38.46,76.53
97075,81.86,50.61,63.36,46.56,8.4,79.32,30.72,82.27,56.23,78.73,42.73,81.47,64.74,87.87,86.66,91.71,50.49,83.07,26.82,88.67,58.81,71.63,73.47,29.5,67.05,76.19,81.64,50.99,94.86,70.55,65.3,70.07,42.65,76.25,61.64,38.55,76.92,87.31,45.17,56.57,76
97076,48.09,23.72,59.32,8.34,52.83,41.92,19.23,52.07,25.44,41.32,55.88,51.57,41.29,52.82,59.85,56.36,68.48,73.7,37.35,77.13,7.52,14.8,15.95,12.82,46.06,74.99,61.11,30.1,80.75,42.07,48.87,63.02,28.08,53.92,51.05,51.7,86.72,88.31,55.11,55.09,68.15
97077,82.01,44.82,73.4,61.8,39.58,81.01,63.63,77.8,84.78,76.34,52.2,82.99,72.97,80.57,78.74,78.73,31.76,82.29,82.85,89.77,38.01,42.06,62.83,54.68,77.59,82.28,78.13,61.82,75.14,69.52,83.12,76.43,59.23,75.42,79.18,36.84,76.34,91.44,62.5,84.27,82.92
97078,82.18,45.77,86.35,35.15,53.57,75.65,38.8,60.48,84.51,54.87,43.42,92.77,77.36,67.28,49.24,75.48,44.27,84.31,53.9,76.63,45.97,45.53,62.99,48.15,75.31,77.73,76.69,29.59,86.82,76.84,79.25,59.51,25.24,76.48,80.44,79.44,94.6,100,56.2,90.6,93
97079,59.27,30.25,69.48,55.49,92.52,83.53,51.86,75.63,84.98,47.53,22.16,87.08,83.75,87.07,84.81,83.84,48.36,80.29,58.03,75.75,60.34,46.07,84.11,11.56,83.06,79.66,59.53,33.56,83.5,92.17,72.59,74.99,31.98,69.08,52.35,50.95,82.18,91.48,39.79,68.2,75.17
97080,94.71,49.64,94.95,54.43,93.29,80.89,91.43,89.77,56.72,94.82,52.19,83.43,83.42,87.33,90.99,94.01,91.25,90.73,66.62,85.93,76.41,93.27,85.58,46.58,82.99,78.89,77.2,79.52,97.13,87.45,61.69,82.7,79.37,75.35,59.37,60.21,76.52,93.35,79.71,71.88,87.24
97081,12.78,50.95,24.42,12.48,7.38,65.28,82.7,49.74,56.8,31.06,48.71,83.19,19.07,80.96,47.43,72.14,54.49,66.1,74.09,73.34,53.05,49.32,39.53,28.47,66.77,58.93,74.29,21.88,73.29,53.13,62.41,51.85,39.31,41.65,41.89,52.31,87.14,91.99,71.57,61.55,76.06
97082,33.37,26.51,17.87,30.26,10.67,73.74,11.54,16.48,61.41,24.04,43.87,90.68,10.91,38.02,9.93,54.56,13.75,81.66,5.21,17.91,48.01,13.69,89.02,42.74,18.6,14.8,80.91,10.96,81.11,5.07,17.73,42.13,9.14,29.37,13.61,15.75,50.34,77.93,32.24,20.91,48.65
97083,89.04,69.63,92.81,81.37,93.72,79.29,68.82,89.03,94.01,82.32,49.9,86.66,87.49,85.89,92.42,94.65,81.75,100,86.41,83.14,91.26,87.09,47.45,32.7,85.4,77.48,76.76,66.92,87.21,89.7,84.13,84.57,81.47,94.56,81.33,76.21,78.53,97.93,90.21,89.57,85.14
